Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
158,Derrick Jones Jr.,SF,26,DAL,75,65,23.6,3.2,6.6,0.483,1.1,3.2,0.343,2.1,3.4,0.614,0.566,1.3,1.8,0.716,1.1,2.2,3.3,1,0.7,0.7,0.8,1.6,8.7
159,Terance Mann,SG,27,LAC,73,69,25.2,3.3,6.5,0.507,0.9,2.7,0.345,2.4,3.8,0.625,0.58,1,1.3,0.826,1.2,2.2,3.4,1.6,0.6,0.2,0.6,2,8.6
160,Dorian Finney-Smith,PF,30,BRK,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5
161,Gradey Dick,SG,20,TOR,58,15,20.8,3.1,7.3,0.426,1.5,4,0.368,1.7,3.3,0.495,0.526,0.7,0.8,0.872,0.5,1.8,2.2,1.2,0.6,0,0.8,1.5,8.4
162,Miles McBride,PG,23,NYK,66,14,19.6,3,6.7,0.453,1.6,3.9,0.415,1.4,2.8,0.505,0.574,0.7,0.8,0.86,0.5,1,1.5,1.6,0.7,0.1,0.4,1.6,8.4
163,Andre Drummond,C,30,CHI,79,10,17.1,3.4,6.1,0.556,0,0,0,3.4,6,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8,8.4
164,Bilal Coulibaly,SF,19,WAS,63,15,27.2,3,6.9,0.435,1,2.9,0.346,2,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4
165,Isaiah Joe,SG,24,OKC,76,1,18.7,2.9,6.3,0.46,1.9,4.6,0.421,1,1.7,0.565,0.614,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.3
166,Kyle Lowry,PG,37,TOT,58,53,28.3,2.8,6.4,0.433,1.7,4.3,0.393,1.1,2.2,0.512,0.563,1.1,1.3,0.836,0.6,2.7,3.2,4.2,1,0.4,1.4,2.4,8.3
167,Dario Šarić,C,29,GSW,62,9,17.4,2.9,6.1,0.465,1.2,3.1,0.376,1.7,3,0.556,0.56,1.2,1.4,0.854,1.1,3.3,4.5,2.3,0.5,0.1,1.2,1.8,8.1
168,Walker Kessler,C,22,UTA,64,22,23.3,3.6,5.5,0.654,0.1,0.3,0.211,3.5,5.2,0.68,0.66,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1,2.1,8.1
169,Sam Merrill,SG,27,CLE,61,1,17.5,2.6,6.4,0.402,2.3,5.8,0.404,0.2,0.6,0.385,0.584,0.4,0.5,0.929,0.4,1.6,2,1.8,0.3,0.1,0.3,1.2,8
170,Moses Moody,SG,21,GSW,63,9,17.4,2.9,6.4,0.46,1.1,3.1,0.358,1.8,3.3,0.555,0.546,1.1,1.3,0.8,1,2,3,0.8,0.6,0.4,0.7,1.4,8
171,Nickeil Alexander-Walker,SG,25,MIN,80,20,23.5,2.9,6.5,0.442,1.6,4.1,0.395,1.3,2.5,0.518,0.564,0.6,0.8,0.794,0.4,1.6,2.1,2.5,0.8,0.5,1,1.8,8
